:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	0	Group	Forest	WHC	N 	C 	S	P	C-to-N	C-to-S	C-to-P	pH	Achillea millefolia	Andromeda polifolia	Arctostaphylos alpinus	Betula nana	Betula pubescens	Calamagrostis sp. 	Carex sp. 	Cerastium fontanum	Chamaenerion angustifolium	Cirsium sp.	Comarum palustre	Cornus suecica	Deschampsia caespitosa	Deschampsia flexuosa	Diphasiastrum alpinum	Empetrum nigrum	Equisetum arvense	Equisetum sylvaticum	Filipendula ulmaria	Fragaria vesca	Geranium sylvaticum	Goodyera repens	Gymnocarpium dryopteris	Hieracium murorum agg	Huperzia selago	Juncus trifidus	Juniperus communis	Ledum palustris	Linnaea borealis	Loiseuleuria procumbens	Luzula pilosa	Lycopodium annotinum	Melampyrum sylvaticum	Milium effusum	Myosotis sylvatica	Nardus stricta	Orthilla secunda	Phegopteris connectilis	Phyllodoce caerulea	Pinus sylvestris	Populus tremula	Poaceae sp.	Polygonum vivipara	Ranunculus acris	Rubus arcticus	Rubus chamaemorus	Salix lapponum	Solidago virgaurea	Sorbus aucuparia	Stellaria graminea	Trientalis europaeus	Urtica dioica	Vaccinium myrtillus	Vaccinium uliginosum	Vaccinium vitis-idaea	
Crimson	Dot	1	Birch	Birch1	508	19,6	428	3,16	2,274	21,9	136	188	4,21	0	0	0	0	4	3	0	0	0	0	2	4	0	0	0	0	5	0	3	2	3	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0	0	2	0	0	0	5	0	0	2	2	0	0	0	0	2	3	0	0	0	
Crimson	Dot	2	Birch	Birch2	418	8,6	390	3,060	2,092	45,5	128	186	4,32	0	0	0	0	4	3	0	0	0	0	0	6	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	3	0	0	0	0	2	2	
Crimson	Dot	3	Birch	Birch3	221	8,3	136	0,888	4,755	16,5	154	29	6,11	0	0	0	0	2	0	0	2	3	2	0	2	0	0	0	0	0	3	0	0	4	2	2	0	0	0	2	0	0	0	2	0	4	2	0	0	5	0	0	0	0	0	0	2	3	0	0	3	0	0	2	0	0	0	0	
Crimson	Dot	4	Birch	Birch4	209	5,6	182	0,896	0,672	32,4	203	271	4,37	0	0	0	0	4	0	0	0	0	0	0	6	0	3	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	3	2	2	
Crimson	Dot	5	Birch	Birch5	338	9,0	273	1,180	0,675	30,2	232	405	4,49	0	0	0	0	4	0	0	0	2	0	0	6	0	4	0	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	0	
Crimson	Dot	6	Birch	Birch6	271	9,2	194	0,870	0,839	21,2	223	231	4,27	2	0	0	0	4	2	0	0	3	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	2	2	0	2	0	2	
Crimson	Dot	7	Birch	Birch7	319	6,9	285	0,996	0,650	41,4	286	439	4,16	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	
Crimson	Dot	8	Birch	Birch8	465	13,3	444	1,572	0,789	33,4	282	563	4,45	0	0	2	0	4	0	0	0	0	0	0	0	0	5	0	5	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	4	
