:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	0	Group	Forest	WHC	N 	C 	S	P	C-to-N	C-to-S	C-to-P	pH	Alveolata	Amoebozoa	Apusozoa	Archaeplastida	Eucaryota_others	Rhizaria	Stramenopiles	Ascomycota	Basidiomycota	Chytridiomycota	Mucoromycota	Fungi_others	Nucleariidea	Annelida	Arthropoda	Nematoda	Metazoa_others	
Cornflowerblue	Dot	23	Tundra	Tundra1	430	12,6	409	2,205	0,976	32,4	186	419	4,45	3,6	3,1	2,3	0,7	0,7	25,2	1,9	29,7	22,6	1,8	3,7	0	0,1	0,1	3,4	0,5	0,7	
Cornflowerblue	Dot	24	Tundra	Tundra2	366	12,4	444	1,803	0,702	35,9	246	632	3,76	1,1	0,3	1,2	0,7	0,3	6,3	0,3	73,2	3,7	2,5	8,6	0,1	0,4	0,4	0,3	0,3	0,2	
Cornflowerblue	Dot	25	Tundra	Tundra3	215	7,6	229	1,043	0,520	30,2	219	440	4,38	1,2	0,8	0,7	20,2	0	5,2	0,3	48,8	14,2	1,2	5,3	0,3	0,1	0,6	0,5	0,6	0,1	
Cornflowerblue	Dot	26	Tundra	Tundra4	504	10,9	395	1,674	0,573	36,1	236	688	4,65	0,9	0,8	3,3	0,3	0,2	12,5	2,7	23,6	47,6	2,1	2,7	0,3	0	1,5	0,9	0,3	0,4	
Cornflowerblue	Dot	27	Tundra	Tundra5	221	7,5	213	0,750	0,360	28,3	283	591	3,89	0,8	0,1	0,3	2,1	0,1	2,7	0,5	79,8	6,7	0,7	2,7	0,2	0	2	0,2	0,6	0,5	
Cornflowerblue	Dot	28	Tundra	Tundra6	454	9,8	466	1,472	0,999	47,6	317	467	3,84	0,3	0,7	3,1	0,2	0	9,4	1,4	61,6	12,4	2,3	4,9	1,5	0,4	1,3	0,2	0,3	0	
Cornflowerblue	Dot	29	Tundra	Tundra7	461	11,7	430	1,507	1,002	36,7	286	429	3,86	0,6	0,2	1	0,7	0,1	7,8	1,3	39,8	15,5	3,7	8,1	0,6	0,2	19,1	0,9	0,2	0,3	
Cornflowerblue	Dot	30	Tundra	Tundra8	479	11,0	459	1,538	1,058	41,9	299	434	4,03	0,5	0,5	0,3	1,1	0,2	6,7	1	23,1	10,2	2,1	6,4	0,3	0	43,5	3,8	0,3	0,1	
Cornflowerblue	Dot	31	Tundra	Tundra9	365	10,9	389	1,438	1,013	35,6	271	384	3,89	2,1	0,8	1,9	0,2	0	8,4	2	32,9	35	8,4	3,9	0,9	0,1	1,6	0,5	0,2	0,9	
Cornflowerblue	Dot	32	Tundra	Tundra10	463	13,7	446	1,765	1,026	32,5	252	434	3,86	5,6	1,1	4,7	4,9	0	9	1,8	47	8,2	8,2	5,6	1,7	0,1	0,3	0,3	1,2	0,3	
Cornflowerblue	Dot	33	Tundra	Tundra11	396	10,0	422	1,240	1,183	42,3	340	357	3,90	0,4	0,3	0,1	1,1	0,1	3,8	0,6	34,2	48,1	0,8	1,7	0,4	0,1	0,1	8,1	0,1	0,2	
